"NO","URL","Process","Host","IP Address","Content-Type"
"32","http://clients1.google.com/complete/search?client=chrome&hl=en-US&q=www.cs.indiana.","|0000|chrome.exe[6948]"," clients1.google.com","72.14.204.113:80"," text/javascript; charset=UTF-8"
"33","http://clients1.google.com/complete/search?client=chrome&hl=en-US&q=www.cs.indiana.e","|0000|chrome.exe[6948]"," clients1.google.com","72.14.204.113:80"," text/javascript; charset=UTF-8"
"34","http://clients1.google.com/complete/search?client=chrome&hl=en-US&q=www.cs.indiana.ed","|0000|chrome.exe[6948]"," clients1.google.com","72.14.204.113:80"," text/javascript; charset=UTF-8"
"35","http://clients1.google.com/complete/search?client=chrome&hl=en-US&q=www.cs.indiana.edu","|0000|chrome.exe[6948]"," clients1.google.com","72.14.204.113:80"," text/javascript; charset=UTF-8"
"36","http://www.cs.indiana.edu/classes/B551","|0000|chrome.exe[6948]"," www.cs.indiana.edu","129.79.247.195:80"," text/html; charset=iso-8859-1"
"37","http://linkhelp.clients.google.com/tbproxy/lh/fixurl?hl=en-US&sd=com&url=http%3A%2F%2Fwww.cs.indiana.edu%2Fclasses%2FB551&sourceid=chrome&error=http404","|0000|chrome.exe[6948]"," linkhelp.clients.google.com","72.14.204.102:80"," text/html; charset=UTF-8"
"38","http://csi.gstatic.com/csi?v=3&s=linkdoctor&action=opt&srt=6&tran=15&e=&rt=ol.21","|0000|chrome.exe[6948]"," csi.gstatic.com","209.85.149.100:80"," text/html"
"39","http://linkhelp.clients.google.com/tbproxy/lh/url?sa=T&q=www.cs.indiana.edu/classes/B551&usg=AFQjCNEq5DYZAz5EmpUAOnZYMZ_nyvReIQ&ct=dym&cd=0&fp=4010331130135147480&ei=CeqxTc2gLY6QqgL5oomXDA&url=http%3A//www.cs.indiana.edu/classes/b551&hl=en&sourceid=chrome&error=http404&pref=SUQ9OWM1ZWYzYWNlYmMyN2E5YTpVPWFlZWM0N2Q5OGQ4OTg1MjM6VE09MTI5NTgxMjExMDpMTT0xMjk5Njk3Nzg1OkdNPTE6Uz1OY2FrRjBPWWU4aGpwNTJu&cr=ZZ&xi=","|0000|chrome.exe[6948]"," linkhelp.clients.google.com","72.14.204.102:80"," text/html"
"40","http://www.google.com/url?sa=D&q=http://www.cs.indiana.edu/classes/b551&usg=AFQjCNGUPPljkF3qMTeNSCzB5h9ErlGbUQ","|0000|chrome.exe[6948]"," www.google.com","74.125.91.106:80"," text/html; charset=UTF-8"
"41","http://www.cs.indiana.edu/classes/b551","|0000|chrome.exe[6948]"," www.cs.indiana.edu","129.79.247.195:80","N/A"
"42","http://cnl.salk.edu/Research/ParallelNetsPronounce","|0000|chrome.exe[6948]"," cnl.salk.edu","198.202.70.25:80"," text/html; charset=UTF-8"
"43","http://cnl.salk.edu/SnlTemplate/min/f=SnlTemplate/css/960/960.css,SnlTemplate/css/all.css,SnlTemplate/css/small-screen.css,SnlTemplate/css/print.css,SnlTemplate/css/google-customsearch.css,css/cnl.css","|0000|chrome.exe[6948]"," cnl.salk.edu","198.202.70.25:80"," text/css; charset=utf-8"
"44","http://www.google.com/jsapi","|0000|chrome.exe[6948]"," www.google.com","74.125.91.106:80"," text/javascript; charset=utf-8"
"45","http://www.google.com/uds/?file=search&v=1&hl=en","|0000|chrome.exe[6948]"," www.google.com","74.125.91.106:80"," text/javascript; charset=utf-8"
"46","http://www.google.com/uds/api/search/1.0/da11a17ee21435ab38fe3d34c57b4e8b/default.css","|0000|chrome.exe[6948]"," www.google.com","74.125.91.106:80"," text/css; charset=UTF-8"
"47","http://www.google.com/uds/api/search/1.0/da11a17ee21435ab38fe3d34c57b4e8b/default+en.I.js","|0000|chrome.exe[6948]"," www.google.com","74.125.91.106:80"," application/x-javascript; charset=UTF-8"
"48","http://cnl.salk.edu/SnlTemplate/images/salk_logo.gif","|0000|chrome.exe[6948]"," cnl.salk.edu","198.202.70.25:80"," image/gif"
"49","http://www.google.com/uds/css/small-logo.png","|0000|chrome.exe[6948]"," www.google.com","74.125.91.106:80"," image/png"
"50","http://www.google.com/cse/intl/en/images/google_custom_search_watermark.gif","|0000|chrome.exe[6948]"," www.google.com","74.125.91.106:80","N/A"
"51","http://www.google.com/uds/css/clear.gif","|0000|chrome.exe[6948]"," www.google.com","74.125.91.106:80"," image/gif"
"52","http://cnl.salk.edu/favicon.ico","|0000|chrome.exe[6948]"," cnl.salk.edu","198.202.70.25:80"," image/x-icon"
